City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,gadzhiyevo,69.2551,33.3362,271.16,80,99,3.16,RU,1682532976
129,jatai,-17.8814,-51.7144,301.67,51,8,2.8,BR,1682532977
130,las trojes,14.0667,-85.9833,305.74,30,70,2.22,HN,1682532978
131,fukuecho,32.6881,128.8419,286.7,64,0,4.32,JP,1682532979
132,belyy yar,53.6039,91.3903,269.09,93,49,2.0,RU,1682532980
133,selfoss,63.9331,-20.9971,275.95,93,100,3.52,IS,1682532980
134,wailua homesteads,22.0669,-159.378,295.59,78,20,3.09,US,1682532981
135,ouadda,8.0777,22.4007,293.82,88,97,0.79,CF,1682532982
136,freetown,8.484,-13.2299,301.99,70,40,5.14,SL,1682532982
137,hawaiian paradise park,19.5933,-154.9731,298.65,81,0,1.54,US,1682532959
138,aykhal,66.0,111.5,262.85,100,87,1.02,RU,1682532984
139,nuriootpa,-34.4833,139.0,289.01,85,85,2.44,AU,1682532985
140,sos'va,59.1766,61.8558,287.6,59,100,2.96,RU,1682532985
141,tosontsengel,48.7567,98.2839,265.19,44,99,2.17,MN,1682532986
142,port douglas,-16.4833,145.4667,295.81,83,12,3.64,AU,1682532987
143,chipata,-13.6333,32.65,290.33,74,64,3.08,ZM,1682532987
144,chui,-33.6971,-53.4616,295.37,62,67,2.47,UY,1682532988
145,new norfolk,-42.7826,147.0587,287.87,61,99,1.14,AU,1682532989
146,placido de castro,-10.3353,-67.1856,305.76,48,80,1.81,BR,1682532989
147,choma,-16.8065,26.9531,290.81,49,37,1.04,ZM,1682532990
148,bikenibeu village,1.3673,173.1241,300.13,83,40,3.6,KI,1682532991
149,poronaysk,49.2167,143.1167,273.98,91,83,1.61,RU,1682532991
150,hermansverk,61.1846,6.8502,276.4,80,75,5.66,NO,1682532992
151,petropavlovsk-kamchatsky,53.0452,158.6483,269.48,80,0,3.0,RU,1682532993
152,arkhangel'sk,64.5401,40.5433,277.21,48,0,4.0,RU,1682532993
153,guichon,-32.35,-57.2,295.08,57,61,3.08,UY,1682532994
154,charlottetown,46.2352,-63.1267,282.7,61,75,3.6,CA,1682532944
155,bamboo flat,11.7,92.7167,301.83,76,97,3.31,IN,1682532995
156,tiksi,71.6872,128.8694,256.63,95,17,1.79,RU,1682532996
